category,brand,product_name,unit_price,product_id
Home,Tefal,Dining Chair,295.76,P000001
Fashion,Zara,Polo Shirt,272.56,P000002
Electronics,Apple,Monitor,694.52,P000003
Sports,Asics,Running Shoes,157.93,P000004
Electronics,Logitech,Gaming Headset,685.83,P000005
Home,Bosch,Dining Chair,187.93,P000006
Electronics,Sony,Wireless Mouse,843.85,P000007
Home,Philips,Desk Lamp,337.01,P000008
Home,Philips,Vacuum Cleaner,20.7,P000009
Fashion,Tommy Hilfiger,Belt,54.27,P000010
Fashion,Calvin Klein,Jacket,270.84,P000011
Electronics,Apple,Wireless Mouse,557.86,P000012
Electronics,Sony,Monitor,808.35,P000013
Electronics,Samsung,Monitor,405.84,P000014
Fashion,Tommy Hilfiger,Jeans,136.78,P000015
Fashion,Tommy Hilfiger,Polo Shirt,70.4,P000016
Home,Philips,Air Fryer,278.48,P000017
Sports,Nike,Yoga Mat,94.73,P000018
Sports,Nike,Sports T-Shirt,136.7,P000019
Sports,Asics,Sports T-Shirt,162.46,P000020
Fashion,Levi's,Belt,61.16,P000021
Home,Bosch,Blender,212.66,P000022
Electronics,Sony,Gaming Headset,292.92,P000023
Home,Tefal,Blender,204.56,P000024
Electronics,Apple,USB-C Hub,458.68,P000025
Home,IKEA,Desk Lamp,485.2,P000026
Fashion,Calvin Klein,Sneakers,249.5,P000027
Sports,Puma,Yoga Mat,134.62,P000028
Home,Philips,Coffee Machine,21.85,P000029
Home,IKEA,Vacuum Cleaner,119.58,P000030
Fashion,Zara,Jeans,138.4,P000031
Electronics,Apple,USB-C Hub,268.01,P000032
Home,Bosch,Blender,171.34,P000033
Fashion,Calvin Klein,Jacket,296.86,P000034
Electronics,Samsung,Mechanical Keyboard,101.86,P000035
Home,IKEA,Dining Chair,352.62,P000036
Home,Tefal,Air Fryer,67.87,P000037
Home,IKEA,Blender,419.78,P000038
Home,IKEA,Coffee Machine,339.38,P000039
Home,Tefal,Desk Lamp,92.09,P000040
Electronics,Samsung,Mechanical Keyboard,855.35,P000041
Sports,Adidas,Sports Bag,42.22,P000042
Electronics,Sony,Mechanical Keyboard,118.94,P000043
Electronics,Apple,USB-C Hub,396.87,P000044
Electronics,Apple,Mechanical Keyboard,290.75,P000045
Fashion,Calvin Klein,Hoodie,173.3,P000046
Fashion,Tommy Hilfiger,Jacket,109.73,P000047
Electronics,Apple,Wireless Mouse,768.82,P000048
Electronics,Apple,Bluetooth Speaker,273.64,P000049
Fashion,Tommy Hilfiger,Sneakers,251.43,P000050
Sports,Nike,Yoga Mat,106.41,P000051
Home,Philips,Vacuum Cleaner,90.97,P000052
Electronics,Sony,Webcam,404.08,P000053
Fashion,Tommy Hilfiger,Belt,157.6,P000054
Fashion,Calvin Klein,Polo Shirt,71.22,P000055
Sports,Asics,Running Shoes,238.02,P000056
Home,Bosch,Desk Lamp,498.02,P000057
Fashion,Calvin Klein,Hoodie,180.21,P000058
Home,Tefal,Vacuum Cleaner,163.91,P000059
Fashion,Levi's,Hoodie,276.76,P000060
Electronics,Samsung,Mechanical Keyboard,106.31,P000061
Electronics,Sony,Bluetooth Speaker,143.4,P000062
Fashion,Calvin Klein,Hoodie,94.95,P000063
Home,IKEA,Coffee Machine,51.47,P000064
Home,Philips,Air Fryer,216.87,P000065
Fashion,Calvin Klein,Hoodie,202.96,P000066
Fashion,Levi's,Hoodie,290.86,P000067
Home,Tefal,Vacuum Cleaner,277.43,P000068
Electronics,Logitech,Monitor,200.27,P000069
Fashion,Calvin Klein,Jeans,157.81,P000070
Sports,Adidas,Football,193.73,P000071
Sports,Adidas,Sports T-Shirt,234.93,P000072
Home,Bosch,Air Fryer,478.37,P000073
Fashion,Tommy Hilfiger,Polo Shirt,135.95,P000074
Home,Bosch,Blender,344.69,P000075
Sports,Nike,Water Bottle,228.24,P000076
Electronics,Samsung,Bluetooth Speaker,451.17,P000077
Electronics,Apple,Bluetooth Speaker,780.4,P000078
Fashion,Calvin Klein,Hoodie,105.07,P000079
Electronics,Apple,Gaming Headset,212.38,P000080
Electronics,Apple,Monitor,585.82,P000081
Sports,Nike,Sports Bag,221.74,P000082
Electronics,Samsung,Webcam,200.97,P000083
Fashion,Tommy Hilfiger,Jacket,299.03,P000084
Sports,Adidas,Water Bottle,241.37,P000085
Fashion,Zara,Hoodie,199.98,P000086
Fashion,Tommy Hilfiger,Sneakers,207.62,P000087
Home,IKEA,Coffee Machine,129.35,P000088
Sports,Adidas,Sports T-Shirt,38.62,P000089
Electronics,Sony,Monitor,272.29,P000090
Fashion,Calvin Klein,Hoodie,252.45,P000091
Electronics,Logitech,Wireless Mouse,378.35,P000092
Fashion,Zara,Jeans,182.08,P000093
Sports,Puma,Sports Bag,210.14,P000094
