order_id,customer_id,product_id,order_date,quantity,unit_price,discount,revenue
O010401,C002982,P000339,2023-09-14,2,155.74,0.2,249.18
O010402,C057598,P000412,2024-09-06,4,48.68,0.2,155.78
O010403,C069123,P000187,2026-06-05,1,668.34,0.0,668.34
O010404,C086247,P000414,2026-01-26,4,186.96,0.1,673.06
O010405,C069452,P000273,2026-10-30,3,872.81,0.1,2356.59
O010406,C042843,P000345,2024-01-31,3,235.31,0.1,635.34
O010407,C063296,P000011,2025-09-20,3,270.84,0.2,650.02
O010408,C030510,P000173,2026-06-01,3,235.78,0.0,707.34
O010409,C050940,P000302,2022-01-15,1,68.37,0.1,61.53
O010410,C048667,P000229,2025-12-03,4,115.41,0.2,369.31
O010411,C064980,P000197,2027-06-07,5,121.97,0.0,609.85
O010412,C006888,P000138,2023-04-01,1,26.48,0.2,21.18
O010413,C099257,P000231,2022-06-02,2,372.36,0.1,670.25
O010414,C048482,P000295,2024-07-09,2,42.95,0.1,77.31
O010415,C051483,P000021,2025-02-24,2,61.16,0.1,110.09
O010416,C062206,P000154,2025-04-14,3,196.97,0.0,590.91
O010417,C057788,P000013,2022-11-14,4,808.35,0.0,3233.4
O010418,C091199,P000012,2023-03-13,4,557.86,0.2,1785.15
O010419,C062371,P000464,2026-01-07,5,266.56,0.1,1199.52
O010420,C011431,P000497,2026-08-28,4,190.77,0.2,610.46
O010421,C026771,P000196,2026-09-28,4,147.52,0.0,590.08
O010422,C037988,P000488,2026-07-22,5,195.21,0.2,780.84
O010423,C035934,P000245,2025-11-07,1,760.65,0.2,608.52
O010424,C042726,P000207,2024-08-30,3,568.32,0.0,1704.96
O010425,C039314,P000375,2023-06-19,4,94.56,0.1,340.42
O010426,C030389,P000478,2024-10-02,5,203.1,0.1,913.95
O010427,C095083,P000312,2023-08-27,2,647.71,0.0,1295.42
O010428,C024415,P000240,2026-07-15,2,76.02,0.2,121.63
O010429,C095872,P000465,2025-08-23,5,446.21,0.2,1784.84
O010430,C080442,P000177,2024-04-07,4,423.77,0.1,1525.57
O010431,C070295,P000482,2024-07-14,1,85.9,0.2,68.72
